City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
144,saskylakh,71.9167,114.0833,-13.3,87,38,6.7,RU,1681436561
145,odlabari,26.8333,88.6167,30.65,19,60,1.22,IN,1681436561
146,qaqortoq,60.7167,-46.0333,0.47,71,100,3.11,GL,1681436562
147,gat,31.61,34.7642,11.38,100,0,1.54,IL,1681436402
148,broome,42.2506,-75.833,19.55,62,24,0.89,US,1681436563
149,batagay,67.6333,134.6333,-4.96,84,97,0.29,RU,1681436563
150,eureka,40.8021,-124.1637,10.67,73,8,2.68,US,1681436409
151,nsoko,-27.0333,31.95,16.59,62,0,1.8,SZ,1681436564
152,zhytomyr,50.2649,28.6767,7.21,98,100,2.55,UA,1681436565
153,pangnirtung,66.1451,-65.7125,-14.53,92,62,2.66,CA,1681436565
154,yaan,7.3833,8.5667,27.64,69,10,3.94,NG,1681436566
155,ponta delgada,37.7333,-25.6667,16.4,88,40,3.6,PT,1681436567
156,dedougou,12.4667,-3.4667,30.1,15,87,3.21,BF,1681436568
157,basoko,1.2391,23.616,22.2,96,98,1.32,CD,1681436569
158,casablanca,33.5928,-7.6192,15.74,67,19,4.02,MA,1681436531
159,sur,22.5667,59.5289,28.57,51,50,2.39,OM,1681436570
160,cockburn town,21.4612,-71.1419,25.91,77,12,7.81,TC,1681436570
161,cayenne,4.9333,-52.3333,24.02,100,100,2.57,GF,1681436418
162,shuyskoye,59.3736,41.0305,-4.95,66,6,4.72,RU,1681436571
163,andenes,69.3143,16.1194,3.29,80,0,5.66,NO,1681436572
164,hasaki,35.7333,140.8333,22.94,67,81,10.0,JP,1681436572
165,ayan,56.45,138.1667,0.38,50,100,7.13,RU,1681436573
166,san policarpo,12.1791,125.5072,28.26,77,25,4.26,PH,1681436573
167,provideniya,64.3833,-173.3,-10.91,52,0,3.13,RU,1681436574
168,villazon,-22.0866,-65.5942,10.5,30,15,1.4,BO,1681436574
169,mahebourg,-20.4081,57.7,24.03,94,20,1.54,MU,1681436575
170,nouadhibou,20.931,-17.0347,20.99,83,40,4.63,MR,1681436575
171,socorro,31.6546,-106.3033,26.55,10,20,7.2,US,1681436576
